iata,name,city,state,country,latitude,longitude
14460,name344,Boston-Cambridge-Newton,MA-NH,,42.517606,-71.021993
16980,name318,Chicago-Naperville-Elgin,IL-IN-WI,,41.823521,-87.828297
19100,name300,Dallas-Fort Worth-Arlington,TX,,32.822558,-97.025133
31080,name176,Los Angeles-Long Beach-Anaheim,CA,,34.109024,-118.182549
33100,name160,Miami-Fort Lauderdale-West-Palm Beach,FL,,26.101828,-80.478755
35620,name136,New New-Newark-Jersey City,NY-NJ-PA,,40.898788,-73.90313
37980,name116,Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,,39.89513,-75.312003
40140,name94,Riverside-San Bernadino-Ontario,CA,,34.537534,-116.130921
41940,name72,San Jose-Sunnyvale-Santa Clara,CA,,36.908472,-121.371372
47900,name19,Washington-Arlington-Alexandria,DC-VA-MD-WV,,38.816928,-77.448228