origin,destination,count
14460,16980,2239
14460,19100,1373
14460,31080,3893
14460,33100,3055
14460,35620,10336
14460,37980,2498
14460,40140,399
14460,41940,1079
14460,47900,4773
16980,14460,2463
16980,19100,4307
16980,31080,5838
16980,33100,3058
16980,35620,6350
16980,37980,1507
16980,40140,1735
16980,41940,1363
16980,47900,3573
19100,14460,953
19100,16980,2601
19100,31080,2694
19100,33100,2190
19100,35620,2879
19100,37980,607
19100,40140,1039
19100,41940,796
19100,47900,1932
31080,14460,3915
31080,16980,4175
31080,19100,7041
31080,33100,2391
31080,35620,9684
31080,37980,1685
31080,40140,87565
31080,47900,3909
31080,41940,5558
33100,14460,2693
33100,16980,3191
33100,19100,2269
33100,31080,3167
33100,35620,10146
33100,37980,2141
33100,40140,707
33100,41940,201
33100,47900,4031
35620,14460,14213
35620,16980,7647
35620,19100,5413
35620,31080,12377
35620,33100,22471
35620,37980,28115
35620,40140,1586
35620,41940,2381
35620,47900,16491
37980,14460,2699
37980,16980,1964
37980,19100,1134
37980,31080,2086
37980,33100,1185
37980,35620,19036
37980,40140,2725
37980,41940,568
37980,47900,6534
40140,14460,324
40140,16980,1341
40140,19100,1734
40140,31080,52549
40140,33100,381
40140,35620,1014
40140,37980,351
40140,41940,1039
40140,47900,879
41940,14460,995
41940,16980,411
41940,19100,942
41940,31080,4985
41940,33100,366
41940,35620,1051
41940,37980,371
41940,40140,974
41940,47900,887
47900,14460,4112
47900,16980,3094
47900,19100,3467
47900,31080,4110
47900,33100,2584
47900,35620,9219
47900,37980,4939
47900,40140,898
47900,41940,1455
 ,,