Country Name,Country Code,2009,2010,2011,2012,2013,2014,2015,2016,2017
Algeria,DZA,50622,44217,36562,40537,48679,71542,91122,91596,61491
Angola,AGO,32328,31377,41693,43604,50526,50231,44106,29428,25567
Benin,BEN,382,362,399,596,951,633,319,380,330
Botswana,BWA,2083,2632,3238,2157,2102,1458,1247,596,487
Burkina Faso,BFA,0,1,3,2,98,37,0,0,3
Burundi,BDI,123,110,249,203,212,541,834,668,649
Cameroon,CMR,716,607,1063,2309,2450,3636,4303,3775,2677
Cape Verde,CPV,147,376,990,1832,603,642,539,421,426
Central African Republic,CAF,346,795,293,238,27,665,667,39,219
Chad,TCD,785,5760,2557,2852,2971,3462,3937,3292,2248
Comoros,COM,42,215,164,205,215,226,235,303,121
"Congo, Rep.",COG,4695,5112,4172,5187,10690,14483,8942,6293,4899
"Congo, Dem. Rep.",COD,1952,2459,3060,3069,3704,5155,0,0,6293
Cote d'Ivoire,CIV,205,273,160,352,750,646,821,691,1241
Djibouti,DJI,319,169,213,105,176,178,965,"1,470",1261
Egypt,EGY,645,1869,1082,1041,993,185,2302,"1,546",1850
Equatorial Guinea,GNQ,6357,7242,10905,12375,12196,12550,9565,5708,4684
Eritrea,ERI,609,480,466,440,444,520,829,622,404
Ethiopia,ETH,5378,7839,5675,6802,8009,14078,9973,9883,9663
Fmr. Sudan,SDN,20642,20191,0,0,0,0,0,0,0
Gabon,GAB,878,1535,1805,2515,2821,1560,2304,2686,2281
The Gambia,GMB,179,157,22,24,32,53,66,116,326
Ghana,GHA,1591,2141,2368,3156,3606,3351,3537,3042,4899
Guinea,GIN,608,690,617,1213,2137,2378,1500,2541,3765
Guinea-Bissau,GNB,640,598,455,393,287,593,392,355,345
Kenya,KEN,1598,1555,2371,2663,2690,4938,7436,8159,8703
Lesotho,LSO,727,706,663,983,1320,1294,1185,900,625
Liberia,LBR,883,838,879,2474,2339,4099,3964,3163,5939
Libya,LBY,28259,42640,1,40,501,115,135,249,134
Madagascar,MDG,1076,1573,658,438,494,555,546,502,601
Malawi,MWI,265,541,571,501,357,352,311,285,281
Mali,MLI,739,1012,1432,1030,812,1104,992,859,480
Mauritania,MRT,1408,1638,1900,2178,1512,1569,1436,1484,1586
Mauritius,MUS,6219,6749,6721,5212,2824,2364,2027,1183,1079
Morocco,MAR,1226,1448,1616,1696,1076,1237,1381,864,697
Mozambique,MOZ,1789,1380,1207,1815,3856,3214,3946,4196,4065
Namibia,NAM,543,472,327,471,653,1471,1593,1204,880
Niger,NER,1003,2413,2729,696,1207,1858,1743,1134,890
Nigeria,NGA,5796,7867,9062,7607,7886,8677,8658,8919,10193
Rwanda,RWA,305,479,495,466,922,1382,1210,1363,1679
Sao Tome & Principe,STP,17,17,17,10,6,6,7,7,0
Senegal,SEN,605,1015,1758,1579,1551,1919,1965,1634,2112
Seychelles,SYC,476,601,455,433,346,391,442,301,139
Sierra Leone,SLE,451,473,487,923,1106,1309,1326,1376,1377
Somalia,SOM,12,12,0,0,0,0,0,30,3
South Africa,ZAF,2301,1825,1926,3220,2903,4186,2106,280,511
South Sudan,SSD,0,0,149,0,317,718,5828,420,431
Sudan,SDN,0,0,15257,12064,10133,9808,7910,6202,5234
Swaziland,SWZ,427,403,177,12,4,3,588,0,0
Tanzania,TZA,2300,2829,4470,4720,5755,5619,5796,4434,3691
Togo,TGO,271,321,341,584,1187,1057,302,654,726
Tunisia,TUN,292,288,165,230,650,323,312,205,289
Uganda,UGA,2053,1605,1587,1015,1380,2817,4473,4428,4686
Western Sahara,,0,0,0,0,0,0,0,0,0
Zambia,ZMB,2174,3151,4410,7048,5440,7489,6572,6580,8780
Zimbabwe,ZWE,229,546,1037,696,628,693,964,941,749